Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Order,Product Image,Multi Image,Brand,List,Pros,Cons,Material,Softness,Price,Breathability,Thread count,Durability,Customer reviews,Size options,Care instructions,Color/pattern options,Weave type,Hypoallergenic properties,Eco friendliness,Warranty/return policy,Brand reputation,Total score,Popularity (sub score),Brand Reputation (sub score),Overall Value (sub score),Luxury (sub score),is_amazon,Description,promotion_code,promotion,exact_price,Affiliate url (web),Amazon affiliate url,Size,Amazon Affiliate url - mobile,Amazon Affiliate url - desktop,URL sanity,affiliation check
Hotel Luxury Easy Fit - Cooling & Breathable,hotel-luxury-easy-fit---cooling-breathable,6694b4a02ed4cdd356d1fd3c,66731949b7eeafbfe3fa8c36,674863568082c9b33f6031dd,TRUE,TRUE,Thu Nov 28 2024 12:34:30 GMT+0000 (Coordinated Universal Time),Fri Dec 13 2024 11:01:34 GMT+0000 (Coordinated Universal Time),Fri Dec 13 2024 11:01:34 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6748611e020502c306df7de8_41msF2zaX5L._AC_US100_.jpg,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6748610f71da717939c071fe_71UlK%2BXvRcL._AC_SX679_.jpg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6748611069e7beb997fdeeca_81M2588YcpL._AC_SX679_.jpg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/67486112913f89e8bf3072fe_81mkDFdwzIL._AC_SX679_.jpg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6748611525b266af97a92630_91jsaHuVg%2BL._AC_SX679_.jpg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/67486116e04045b2ddaab71e_81q34RDZUzL._AC_SX679_.jpg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6748611b20c8ae0bfb340ed2_81muz42kVCL._AC_SX679_.jpg,bare-home-us,cooling-on-amazon; hot-sleepers-on-amazon; fitted-on-amazon,"Ultra soft, Cooling, Wrinkle resistant","Quality may vary, Synthetic",Polyester,Very High,$31-$51,Very Good,Not specified,Moderate,4.6/5,"Twin, Twin XL, Full, Queen, King, Cal King, Split King, Split Cal king, Split Flex king",Machine washable,26,Not specified,Not specified,Low - Moderate,30-day return policy,Average,7.8,7,7,7,5,FALSE,Soft cooling sheets with deep pockets,,,28,,https://amazon.com/dp/B0754DGYJT?maas=maas_adg_api_585469917187664326_static_9_129&ref_=aa_maas&tag=homeprinciple-20&aa_campaignid=lv_VrMC6DVucwbGFKkJxE&aa_adgroupid=lv_GcPb07iMumNaMd0VlO&aa_creativeid=lv_3UBgPVEC0P7qpz8c6U&m=A3UBXJ2R9SZ9Z4,Twin XL,,,,
100% Cotton Flannel Sheets,100-cotton-flannel-sheets,6694b4a02ed4cdd356d1fd3c,66731949b7eeafbfe3fa8c36,673ce62a36a534b7d41c8923,FALSE,TRUE,Tue Nov 19 2024 19:25:30 GMT+0000 (Coordinated Universal Time),Thu Nov 28 2024 13:20:27 GMT+0000 (Coordinated Universal Time),,,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6748046838135e826878c73a_673d73c2e24af215fa716338_bedsure.avif,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6748046938135e826878c763_673ce5d651fd83fc591709a7_91cqwwBG_XL._AC_SL1500.jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6748046838135e826878c748_673ce5d6b28dd8f811838ddb_81UaThx5p7L._AC_SL1500.webp; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6748046838135e826878c751_673ce5daee74fe0e2712f7f1_91pCiNdcLHL._AC_SL1500.jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6748046838135e826878c74e_673ce5da47cd59fd788d3df1_71gUesSjbxL._AC_SL1500.webp,bedsure,flannel; cold-sleepers,"Warm and cozy, machine washable",Potential shrinkage,Cotton,High,$83-$99,Good,Not specified,Moderate,4.3/5,"Twin, Queen, King","Machine wash cold, tumble dry low",2/5,Flannel,Not specified,Moderate,30-day return policy,Good,7.5,7,7,8,6,FALSE,"Warm, soft cotton flannel sheets for cozy nights",HOMEPRINCIPLES,for 20% off,91,https://bedsurehome.com/products/100-cotton-solid-flannel-sheet-set?ref=hp20&utm_source=GO&variant=40327776600166,,,,,,
100% Cotton Sateen Buttery Soft 800 Thread Count,100-cotton-sateen-buttery-soft-800-thread-count,6694b4a02ed4cdd356d1fd3c,66731949b7eeafbfe3fa8c36,676aed0143bf5b3245ed77e7,FALSE,FALSE,Tue Dec 24 2024 17:18:57 GMT+0000 (Coordinated Universal Time),Tue Dec 24 2024 17:18:57 GMT+0000 (Coordinated Universal Time),Tue Dec 24 2024 17:18:57 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/676ae9536d4fa8c3684f3c0c_61%2BPQumJMTL._AC_SL1500_.jpg,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/676ae9593ec6faec76a938f4_81oK2vKNWPL._AC_SL1500_.jpg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/676ae9600cd1d3c0d1ab0fd3_81vol%2BV3kpL._AC_SL1500_.jpg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/676ae9666415aa5657193270_71gxldSM7MS._AC_SL1500_.jpg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/676ae96d630487c2907ddce4_818sBFizSSS._AC_SL1500_.jpg,california-design-den,best-on-amazon; percale; queen-size-on-amazon,"Great fit, Very durable, Crisp feel like","No wrinkle resistance, Limited selection",Cotton,Medium-High,$95-$120,Very Good,800,High,4.4/5,"Queen, King, Cal King, Split King",Machine washable,5,Sateen,No,Moderate,30-day return policy,Average,8,8.5,7,8,8,TRUE,Beats Fake Egyptian Claim Luxury 100% Cotton Sheets,,,98,,,Queen,https://amazon.com/dp/B08HWNLDPC?maas=maas_adg_api_584724442338921539_static_9_129&ref_=aa_maas&tag=maas&aa_campaignid=lv_yxoNI8JnMTEYlrO6qZ&aa_adgroupid=lv_3Cjyuy4ZElhcdbciL8&aa_creativeid=lv_huApYF2EwKQlf2pMxs&m=AXT11B3W0G30N,https://amazon.com/dp/B08HWNLDPC?maas=maas_adg_api_584724442338921539_static_9_129&ref_=aa_maas&tag=maas&aa_campaignid=lv_yxoNI8JnMTEYlrO6qZ&aa_adgroupid=lv_vMsve25vBbow9nDeCT&aa_creativeid=lv_mCeQzc2pAUYGx5F1E6&m=AXT11B3W0G30N,good,1
100% Cotton Sheet Set,100-cotton-sheet-set,6694b4a02ed4cdd356d1fd3c,66731949b7eeafbfe3fa8c36,673c6949fa92c9b719b3f9ce,TRUE,TRUE,Tue Nov 19 2024 10:32:41 GMT+0000 (Coordinated Universal Time),Thu Dec 12 2024 17:30:30 GMT+0000 (Coordinated Universal Time),Thu Dec 12 2024 17:32:13 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/673c7b8d578bd3766557895c_673c6d437b1784ed3a631f46_productcard4.jpeg,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/673c7b8d578bd37665578941_673c67384d8fe6204e179c0d_41_772d06fc-ad45-4100-809c-104468fb5076.avif; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/673c7b8d578bd37665578944_673c673f4bca9991fcc36f89_hover4_71b13968-02fc-4579-a548-a084c49e3dcf.webp; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/673c7b8d578bd37665578947_673c6746e4599dc81b663878_44_37bb0847-399a-4edb-b17b-8261db540493.webp; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/673c7b8d578bd3766557894b_673c674cc2ccb0a69c9bf312_43_51bf37c2-113a-4347-8204-8cd5234271b5.avif,bedsure,cotton; affordable; king-size-on-amazon,"Affordable, 100% cotton, variety of colors",Potential durability concerns,Cotton,High,$50-$69,Good,Not specified,Moderate,4.5/5,"Twin, Full, Queen, King","Machine washable in cold water, tumble dry on low heat",9,Not specified,Not specified,Moderate,30-day return policy,Good,7.5,8,7,8,6,FALSE,Affordable cotton sheets with various color options,HOMEPRINCIPLES,for 20% off,69,https://bedsurehome.com/products/bedsure-100-cotton-sheet-set?ref=hp20&utm_source=GO&variant=40470904078438,,,,,,
100% Cotton Sheets for Queen Size Bed,100-cotton-sheets-for-queen-size-bed,6694b4a02ed4cdd356d1fd3c,66731949b7eeafbfe3fa8c36,66f429bc449d756c3b1df066,TRUE,TRUE,Wed Sep 25 2024 15:18:20 GMT+0000 (Coordinated Universal Time),Fri Dec 13 2024 10:26:29 GMT+0000 (Coordinated Universal Time),Fri Dec 13 2024 10:26:29 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6719ae8104461e540b866b72_66f42a8999dfeeb63725b658_California%2520Design%2520Den%2520Queen%2520Sheets%2520White.jpeg,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6719ae8104461e540b866b72_66f42a8999dfeeb63725b658_California%2520Design%2520Den%2520Queen%2520Sheets%2520White.jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6719ae8104461e540b866b7f_66f42a8d6919ccafb627b6ce_California%2520Design%2520Den%2520Queen%2520Sheets%2520(2).jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6719ae8104461e540b866b83_66f42a8d53c34f59b1a64dcc_California%2520Design%2520Den%2520Queen%2520Sheets%2520(1).jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6719ae8104461e540b866b8f_66f42a8d46644a28ed5c65bc_California%2520Design%2520Den%2520Queen%2520Sheets%2520White%2520(2).jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6719ae8104461e540b866b8b_66f42a8def9fa8b083f25657_California%2520Design%2520Den%2520Queen%2520Sheets%2520White%2520(1).jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6719ae8104461e540b866b88_66f42a92ed9c8cf654531f87_California%2520Design%2520Den%2520Queen%2520Sheets.jpeg,california-design-den,queen-size-on-amazon; sateen; cooling-on-amazon; hot-sleepers,"Affordable, Soft, Cooling","Limited luxury feel, Some durability issues",Cotton,Medium-High,$59.99,Very Good,400,Moderate,4.4/5,"Twin, Full, Queen, King, Cal King",Machine washable,10,Sateen,No,Moderate,30-day return policy,Very Good,8.2,7.9,8.3,8.2,7.9,TRUE,"Soft, cooling, and breathable cotton sateen sheet set.",,,30,,https://amazon.com/dp/B09X1NZ5RM?maas=maas_adg_api_584724442338921539_static_9_129&ref_=aa_maas&tag=homeprinciple-20&aa_campaignid=lv_MxCZe5AK3nLI6BNqIh&aa_adgroupid=lv_hG4R2Iz9FPFN5K17GU&aa_creativeid=lv_KZI68MGwhrEo77aBAe&m=AXT11B3W0G30N,,,,48usd,levana?
100% Cotton Solid Flannel Sheet Set,100-cotton-solid-flannel-sheet-set,6694b4a02ed4cdd356d1fd3c,66731949b7eeafbfe3fa8c36,673c85f505378769d87b4a44,TRUE,TRUE,Tue Nov 19 2024 12:35:01 GMT+0000 (Coordinated Universal Time),Fri Dec 13 2024 10:51:49 GMT+0000 (Coordinated Universal Time),Fri Dec 13 2024 10:51:49 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6748046bd485f16ee69b6ec1_673c83cd2d13def0231c3dcf_productcard1_27cbabc8-c4ba-4f0d-9cc9-f3b178b72d88.jpeg,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6748046bd485f16ee69b6eb8_673c83f1db398fde6ca11011_hover1_00e9f2f1-4557-4dee-b19f-cc633a68d6c3.jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6748046bd485f16ee69b6ebe_673c83f49fb907ef140be208_12_7a31334d-3cef-423b-8bb7-c7a1002b8c6b.jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6748046bd485f16ee69b6ebb_673c83f7455722fecb40d0f3_14_f16700dc-fae1-4336-bb8e-582667b2684b.webp; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6748046bd485f16ee69b6ec6_673c83fa0278e550cb39ffd8_13_fdb556bb-a63b-4e0c-96e5-6ecab714a140.jpeg,bedsure,flannel; cotton; cold-sleepers,"Warm and cozy, machine washable","Potential shrinkage, limited variety",Cotton,High,$58-$98,Good,Not specified,Moderate,4.3/5,"Twin, Queen, King","Machine wash cold, tumble dry low",3,Flannel,Not specified,Moderate,30-day return policy,Good,7.5,7,7,8,6,FALSE,"Warm, soft cotton flannel sheets for cozy nights",HOMEPRINCIPLES,for 20% off,64,https://bedsurehome.com/products/100-cotton-solid-flannel-sheet-set?ref=hp20&utm_source=GO&variant=40327776600166,,,,,,
100% Egyptian Cotton Sheets King Size - 1000 Thread Count,100-egyptian-cotton-sheets-king-size---1000-thread-count,6694b4a02ed4cdd356d1fd3c,66731949b7eeafbfe3fa8c36,66f429bd8e4240734fe48942,FALSE,FALSE,Wed Sep 25 2024 15:18:21 GMT+0000 (Coordinated Universal Time),Thu Dec 19 2024 08:49:02 GMT+0000 (Coordinated Universal Time),Thu Dec 19 2024 08:49:02 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6748046e1bab1a092ed95e30_673d6ea1ce546209494ddd46_Organic%2520Cotton%2520Sheet%2520Set%2520White.webp,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6719ae8199a5d62431a63bb1_66f42a5c157106e80165accf_Lane%2520Linen%2520King%2520Sheets%2520(1).jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6719ae8199a5d62431a63baa_66f42a5c1822b2e483459e94_Lane%2520Linen%2520King%2520Sheets%2520(5).jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6719ae8199a5d62431a63ba2_66f42a5c612792526919f136_Lane%2520Linen%2520King%2520Sheets%2520(4).jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6719ae8199a5d62431a63ba6_66f42a5c27d392874fa5ffb0_Lane%2520Linen%2520King%2520Sheets%2520(3).jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6719ae8199a5d62431a63bad_66f42a5c1f1938526980018f_Lane%2520Linen%2520King%2520Sheets%2520(2).jpeg,lane-linen,egyptian-cotton; king-size-on-amazon; cotton; fitted-on-amazon; fitted; bed-sheets,"Ultra luxurious, Durable, Smooth finish","Expensive, Limited color options",Egyptian Cotton,High,$70-$105,Very Good,1000,High,4.5/5,King,Machine washable,4,Sateen,No,Moderate,30-day return policy,Very Good,8.8,8.5,8.5,8.5,9,TRUE,"Luxurious, soft, and durable Egyptian cotton sateen sheets.",,,90,,https://amazon.com/dp/B09B2HFXT4?maas=maas_adg_api_577077718891125367_static_9_129&ref_=aa_maas&tag=homeprinciple-20&aa_campaignid=lv_C1scy4ATgqRAqprhdZ&aa_adgroupid=lv_k25OgZOSOZkB2gd4kF&aa_creativeid=lv_YZNkOixv3BcY67NWCi&m=A1I4V640HSOLK3,,https://amazon.com/dp/B09H4T4Y48?maas=maas_adg_api_577077718891125367_static_9_129&ref_=aa_maas&tag=homeprinciple-20&aa_campaignid=lv_4vr8AtE5kLRJeEpGMj&aa_adgroupid=lv_6QcdAxZeWAKFNXNI53&aa_creativeid=lv_NQBcThvfRoyLlo0N6j&m=A1I4V640HSOLK3,https://amazon.com/dp/B09H4T4Y48?maas=maas_adg_api_577077718891125367_static_9_129&ref_=aa_maas&tag=homeprinciple-20&aa_campaignid=lv_4vr8AtE5kLRJeEpGMj&aa_adgroupid=lv_HYtYADHswYMU01cZmZ&aa_creativeid=lv_NFaYOGi14qAjrOBUqn&m=A1I4V640HSOLK3,$85.49,1
100% Organic Cotton Percale Sheet Set,100-organic-cotton-percale-sheet-set,6694b4a02ed4cdd356d1fd3c,66731949b7eeafbfe3fa8c36,66b21193ecd5be17fd9866c5,FALSE,TRUE,Tue Aug 06 2024 12:05:39 GMT+0000 (Coordinated Universal Time),Thu Dec 05 2024 11:18:51 GMT+0000 (Coordinated Universal Time),Sun Dec 08 2024 13:58:09 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/66b2159768be23215bbfc613_66b213165de439eff76c6c02_sleep-and-beyond-organic-cotton-percale-sheet-set-003.avif,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/66b215977fa1b007795b7ef5_66b213161ae1d4124e9562ba_sleep-and-beyond-organic-cotton-percale-sheet-set-005.avif; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/66b215977fa1b007795b7ef8_66b21316bb0b7715f335cef9_sleep-and-beyond-organic-cotton-percale-sheet-set-006.avif; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/66b215977fa1b007795b7f07_66b21316276420857036168c_sleep-and-beyond-organic-cotton-percale-sheet-set-lifestyle-ivory.avif; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/66b215977fa1b007795b7f0a_66b21316065a7cab320b970a_sleep-and-beyond-organic-cotton-percale-sheet-set-lifestyle-white.avif; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/66b2159768be23215bbfc613_66b213165de439eff76c6c02_sleep-and-beyond-organic-cotton-percale-sheet-set-003.avif,sleep-beyond,percale; bed-sheets; best-premium; deep-pocket,"Breathable, crisp, cool","May wrinkle easily, Limited softness",Organic cotton,Medium-High,$90-$120,Excellent,300,High,Not specified,"Twin, Twin XL, Full, Queen, King, Cal King",Machine washable,Limited (3-4 colors),Percale,Yes,Very High,Normal wear and tear,Very Good,8.7,8.7,8.7,8.7,8.7,FALSE,"Crisp, cool, breathable percale sheet set",,,199,https://www.kqzyfj.com/click-101231764-15312827,,,,,,
100% Organic Cotton Queen Sheet Set,100-organic-cotton-queen-sheet-set,6694b4a02ed4cdd356d1fd3c,66731949b7eeafbfe3fa8c36,66f429bc4212aca7e2d62ed1,TRUE,TRUE,Wed Sep 25 2024 15:18:20 GMT+0000 (Coordinated Universal Time),Thu Dec 12 2024 17:21:56 GMT+0000 (Coordinated Universal Time),Thu Dec 12 2024 17:24:11 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6719ae812b931459a9c473ab_66f42a17e56c4a6bf13a7963_Lane%2520Linen%2520Organic%2520Queen%2520Sheets.jpeg,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6719ae812b931459a9c473ab_66f42a17e56c4a6bf13a7963_Lane%2520Linen%2520Organic%2520Queen%2520Sheets.jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6719ae812b931459a9c473b9_66f42a1b6919ccafb6274dbf_Lane%2520Linen%2520Organic%2520Queen%2520Sheet%2520Set%2520(1).jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6719ae812b931459a9c473a7_66f42a1b2ffe512f80fb43a3_Lane%2520Linen%2520Organic%2520Queen%2520Sheets%2520(3).jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6719ae812b931459a9c473af_66f42a1bcb6b1816b367b8ba_Lane%2520Linen%2520Organic%2520Queen%2520Sheets%2520(2).jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6719ae812b931459a9c473d5_66f42a1b7de059ae249df72a_Lane%2520Linen%2520Organic%2520Queen%2520Sheet%2520Set.jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6719ae812b931459a9c473c8_66f42a1b217d075cef72ffcc_Lane%2520Linen%2520Organic%2520Queen%2520Sheets%2520(1).jpeg,lane-linen,queen-size-on-amazon; percale,"Affordable, Breathable, Eco-friendly","Quality may vary, Wrinkles easily",Organic Cotton,Medium,$49.99,Good,300,Moderate,4.3/5,Queen,Machine washable,6,Percale,No,High,30-day return policy,Good,7.8,7.5,7.8,7.8,7.5,TRUE,"Affordable, crisp, and breathable organic cotton sheet set.",,,60,,https://amazon.com/dp/B0CCBY5FHT?maas=maas_adg_api_577077718891125367_static_9_129&ref_=aa_maas&tag=homeprinciple-20&aa_campaignid=lv_Jwm0BSMfrMvtjSK9JH&aa_adgroupid=lv_0UwegVTr7lZ49lOA0o&aa_creativeid=lv_Ay01jwn355YsF5vqFg&m=A1I4V640HSOLK3,,,,,
100% Organic Cotton Sateen Fitted Sheet,100-organic-cotton-sateen-fitted-sheet,6694b4a02ed4cdd356d1fd3c,66731949b7eeafbfe3fa8c36,66b21193382349384b99efed,TRUE,TRUE,Tue Aug 06 2024 12:05:39 GMT+0000 (Coordinated Universal Time),Thu Dec 05 2024 11:19:10 GMT+0000 (Coordinated Universal Time),Sun Dec 08 2024 13:58:09 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/66b2159722381534f426a1f2_66b212c0746c58b282bd68cb_organic-sheet-set-0010.avif,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/66b2159722381534f426a1e1_66b212c0b2244c33e0a259c0_sleep-and-beyond-organic-cotton-fitted-sheet-main-01.avif; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/66b2159722381534f426a1ed_66b212c0506f6f5fe1f8cf15_label-ethically-made.avif; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/66b2159722381534f426a1d9_66b212c0ced9a5b148f5c833_Organic-Cotton-Fitted-Sheet-Crib-Packaging-02.avif; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/66b2159722381534f426a1f2_66b212c0746c58b282bd68cb_organic-sheet-set-0010.avif; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/66b2159722381534f426a1dd_66b212c023aed51272fe294f_sleep-and-beyond-organic-cotton-fitted-sheet-main-00.avif,sleep-beyond,fitted; soft; deep-pocket,"Soft, durable, wrinkle-resistant","Limited color options, Higher price point",Organic cotton,Very High,$45,Very Good,300,High,4.5/5,"Twin, Full, Queen, King, Cal King",Machine washable,Limited (3-4 colors),Sateen,Yes,High,Normal wear and tear,Very Good,8.1,8.8,8,8,8.8,FALSE,"Soft, durable, and wrinkle-resistant fitted sheet",,,119,https://www.tkqlhce.com/click-101231764-13814534,,,,,,
