Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Order,Product Image,Multi Image,Brand,List,Pros,Cons,Material,Softness,Price,Breathability,Thread count,Durability,Customer reviews,Size options,Care instructions,Color/pattern options,Weave type,Hypoallergenic properties,Eco friendliness,Warranty/return policy,Brand reputation,Total score,Popularity (sub score),Brand Reputation (sub score),Overall Value (sub score),Luxury (sub score),is_amazon,Description,promotion_code,promotion,exact_price,Affiliate url (web),Amazon affiliate url,Size,Amazon Affiliate url - mobile,Amazon Affiliate url - desktop
100% Cotton Sateen Buttery Soft 800 Thread Count,100-cotton-sateen-buttery-soft-800-thread-count,6694b4a02ed4cdd356d1fd3c,66731949b7eeafbfe3fa8c36,676aed0143bf5b3245ed77e7,FALSE,FALSE,Tue Dec 24 2024 17:18:57 GMT+0000 (Coordinated Universal Time),Tue Dec 24 2024 17:18:57 GMT+0000 (Coordinated Universal Time),Tue Dec 24 2024 17:18:57 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/676ae9536d4fa8c3684f3c0c_61%2BPQumJMTL._AC_SL1500_.jpg,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/676ae9593ec6faec76a938f4_81oK2vKNWPL._AC_SL1500_.jpg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/676ae9600cd1d3c0d1ab0fd3_81vol%2BV3kpL._AC_SL1500_.jpg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/676ae9666415aa5657193270_71gxldSM7MS._AC_SL1500_.jpg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/676ae96d630487c2907ddce4_818sBFizSSS._AC_SL1500_.jpg,california-design-den,best-on-amazon; percale; queen-size-on-amazon,"Great fit, Very durable, Crisp feel like","No wrinkle resistance, Limited selection",Cotton,Medium-High,$95-$120,Very Good,800,High,4.4/5,"Queen, King, Cal King, Split King",Machine washable,5,Sateen,No,Moderate,30-day return policy,Average,8,8.5,7,8,8,TRUE,Beats Fake Egyptian Claim Luxury 100% Cotton Sheets,,,98,,,Queen,https://amazon.com/dp/B08HWNLDPC?maas=maas_adg_api_584724442338921539_static_9_129&ref_=aa_maas&tag=maas&aa_campaignid=lv_yxoNI8JnMTEYlrO6qZ&aa_adgroupid=lv_3Cjyuy4ZElhcdbciL8&aa_creativeid=lv_huApYF2EwKQlf2pMxs&m=AXT11B3W0G30N,https://amazon.com/dp/B08HWNLDPC?maas=maas_adg_api_584724442338921539_static_9_129&ref_=aa_maas&tag=maas&aa_campaignid=lv_yxoNI8JnMTEYlrO6qZ&aa_adgroupid=lv_vMsve25vBbow9nDeCT&aa_creativeid=lv_mCeQzc2pAUYGx5F1E6&m=AXT11B3W0G30N
100% Egyptian Cotton Sheets King Size - 1000 Thread Count,100-egyptian-cotton-sheets-king-size---1000-thread-count,6694b4a02ed4cdd356d1fd3c,66731949b7eeafbfe3fa8c36,66f429bd8e4240734fe48942,FALSE,FALSE,Wed Sep 25 2024 15:18:21 GMT+0000 (Coordinated Universal Time),Thu Dec 19 2024 08:49:02 GMT+0000 (Coordinated Universal Time),Thu Dec 19 2024 08:49:02 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6748046e1bab1a092ed95e30_673d6ea1ce546209494ddd46_Organic%2520Cotton%2520Sheet%2520Set%2520White.webp,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6719ae8199a5d62431a63bb1_66f42a5c157106e80165accf_Lane%2520Linen%2520King%2520Sheets%2520(1).jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6719ae8199a5d62431a63baa_66f42a5c1822b2e483459e94_Lane%2520Linen%2520King%2520Sheets%2520(5).jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6719ae8199a5d62431a63ba2_66f42a5c612792526919f136_Lane%2520Linen%2520King%2520Sheets%2520(4).jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6719ae8199a5d62431a63ba6_66f42a5c27d392874fa5ffb0_Lane%2520Linen%2520King%2520Sheets%2520(3).jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6719ae8199a5d62431a63bad_66f42a5c1f1938526980018f_Lane%2520Linen%2520King%2520Sheets%2520(2).jpeg,lane-linen,egyptian-cotton; king-size-on-amazon; cotton; fitted-on-amazon; fitted; bed-sheets,"Ultra luxurious, Durable, Smooth finish","Expensive, Limited color options",Egyptian Cotton,High,$70-$105,Very Good,1000,High,4.5/5,King,Machine washable,4,Sateen,No,Moderate,30-day return policy,Very Good,8.8,8.5,8.5,8.5,9,TRUE,"Luxurious, soft, and durable Egyptian cotton sateen sheets.",,,90,,https://amazon.com/dp/B09B2HFXT4?maas=maas_adg_api_577077718891125367_static_9_129&ref_=aa_maas&tag=homeprinciple-20&aa_campaignid=lv_C1scy4ATgqRAqprhdZ&aa_adgroupid=lv_k25OgZOSOZkB2gd4kF&aa_creativeid=lv_YZNkOixv3BcY67NWCi&m=A1I4V640HSOLK3,,https://amazon.com/dp/B09H4T4Y48?maas=maas_adg_api_577077718891125367_static_9_129&ref_=aa_maas&tag=homeprinciple-20&aa_campaignid=lv_4vr8AtE5kLRJeEpGMj&aa_adgroupid=lv_6QcdAxZeWAKFNXNI53&aa_creativeid=lv_NQBcThvfRoyLlo0N6j&m=A1I4V640HSOLK3,https://amazon.com/dp/B09H4T4Y48?maas=maas_adg_api_577077718891125367_static_9_129&ref_=aa_maas&tag=homeprinciple-20&aa_campaignid=lv_4vr8AtE5kLRJeEpGMj&aa_adgroupid=lv_HYtYADHswYMU01cZmZ&aa_creativeid=lv_NFaYOGi14qAjrOBUqn&m=A1I4V640HSOLK3
1000 Thread Count Queen Sheet Set - 100% Cotton Bed Sheets,1000-thread-count-queen-sheet-set---100-cotton-bed-sheets,6694b4a02ed4cdd356d1fd3c,66731949b7eeafbfe3fa8c36,6762a98fe3b6d6eac5deda67,FALSE,FALSE,Wed Dec 18 2024 10:53:03 GMT+0000 (Coordinated Universal Time),Mon Jan 06 2025 23:59:06 GMT+0000 (Coordinated Universal Time),Mon Jan 06 2025 23:59:06 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6762a6425c63034c57b6f316_61y%2BpJyQTlL._AC_SL1500_.jpg,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6762a64c44b356475ff8ab0e_61LXF3sfQcL._AC_SL1500_.jpg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6762a6556702f94698c8885c_612DITieynL._AC_SL1500_.jpg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6762a65be7aeab023ea0adb7_71TTka4q1-L._AC_SL1500_.jpg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6762a6624fc545d50e9e2069_71-IcOEB6PL._AC_SL1500_.jpg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6762a667239bb0362df7422a_71cuK96Xa6S._AC_SL1500_.jpg,cgk-hotel,best-on-amazon; cotton; best-premium,"Silky-soft, Eco friendly, Durable","Heavy, Wrinkle easily",Organic cotton,High,$100-$150,Very Good,1000,High,4.2/5,"Twin, Full, Queen, King, Cal King, Split King",Easy care machine wash,3,Sateen,Yes,High,30-day return policy,Good,8.7,8,8,8.5,9,TRUE,Softer Than Egyptian Cotton Sheets,,,130,,https://amazon.com/dp/B0BRYKPH9J?tag=homeprinciple-20,Queen,,
Coop Home Goods Comphy SoftSpa Bed Sheet,coop-home-goods-comphy-softspa-bed-sheet,6694b4a02ed4cdd356d1fd3c,66731949b7eeafbfe3fa8c36,68b8196e8838c42e15f473b8,FALSE,FALSE,Wed Sep 03 2025 10:33:18 GMT+0000 (Coordinated Universal Time),Wed Sep 03 2025 10:52:13 GMT+0000 (Coordinated Universal Time),Wed Sep 03 2025 10:52:13 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/68b81a373da6d01a5c189806_Screenshot%202025-09-03%20at%2013.36.02.png,,,affordable; bed-sheets; queen-size-on-amazon; king-size-on-amazon,,,SoftPhiber,,143,,,,4.3,,,,,,,,,10,10,10,10,,TRUE,,,,,,https://www.amazon.com/dp/B0CL1HNC8Z,,,
DreamChill Cooling Bamboo Sheets for Hot Sleepers,dreamchill-cooling-bamboo-sheets-for-hot-sleepers,6694b4a02ed4cdd356d1fd3c,66731949b7eeafbfe3fa8c36,672f104de0e15c7419cea57f,FALSE,FALSE,Sat Nov 09 2024 07:33:33 GMT+0000 (Coordinated Universal Time),Thu Dec 05 2024 11:16:38 GMT+0000 (Coordinated Universal Time),Sun Dec 08 2024 13:58:09 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/673c7b8d578bd376655789c3_672f1450c4a21d1a5d971763_DreamFit%2520Cooling%2520Bamboo%2520Sheets%2520King.jpeg,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/673c7b8d578bd376655789e1_672f14506e7065c24981afc7_DreamFit%2520Cooling%2520Sheets%2520King%2520Set.jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/673c7b8e578bd376655789ef_672f144ff2ccf24b52cee247_DreamFit%2520Cooling%2520Bamboo%2520Sheets%2520King%2520(3).jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/673c7b8d578bd376655789e9_672f1450c4a21d1a5d971766_DreamFit%2520Cooling%2520Bamboo%2520Sheets%2520King%2520(2).jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/673c7b8d578bd376655789e5_672f1450591a6cf83e8375e5_DreamFit%2520Cooling%2520Bamboo%2520Sheets%2520King%2520(1).jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/673c7b8d578bd376655789c3_672f1450c4a21d1a5d971763_DreamFit%2520Cooling%2520Bamboo%2520Sheets%2520King.jpeg,dreamfit,bamboo; cooling-on-amazon; best-on-amazon; hot-sleepers-on-amazon; hot-sleepers; deep-pocket; soft,"Cooling effect, deep pockets, elastic corner straps","Higher price point, limited size options",Bamboo,Very High,$299.99,Excellent,Not specified,High,4.3/5,"Twin, Full, Queen, King",Machine wash in cold water; tumble dry low,4,Sateen,Yes,High,30-day return policy,Very Good,8.5,8.5,8.5,8.5,8.5,TRUE,Cooling bamboo sheets with elastic corner straps,,,269,,https://www.amazon.com/DreamFit-Degree-Bamboo-Rayon-Blend/dp/B00WL6Y6PG?th=1&linkCode=ll1&tag=aehp-20&linkId=341b1260d42750eb553f080d39bbf88e&language=en_US&ref_=as_li_ss_tl,Cal King,,
DreamCool 100% Egyptian Cotton Cooling Bed Sheet Set,dreamcool-100-egyptian-cotton-cooling-bed-sheet-set,6694b4a02ed4cdd356d1fd3c,66731949b7eeafbfe3fa8c36,672f104d5acb5e5a27b2e9f7,FALSE,FALSE,Sat Nov 09 2024 07:33:33 GMT+0000 (Coordinated Universal Time),Fri Dec 13 2024 11:08:22 GMT+0000 (Coordinated Universal Time),Fri Dec 13 2024 11:08:22 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/673c7b8dd96e46f78385cf4b_672f141e6e7065c249819525_DreamFit%2520Cooling%2520Bed%2520Sheet%2520Set%2520White.jpeg,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/673c7b8dd96e46f78385cf3f_672f142609fe44d51630664a_DreamFit%2520Cooling%2520Bed%2520Sheet%2520Set%2520White%2520(4).jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/673c7b8dd96e46f78385cf69_672f1426996ace842c65ec49_DreamFit%2520Cooling%2520Bed%2520Sheet%2520Set%2520White%2520(3).jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/673c7b8dd96e46f78385cf53_672f1426fee33aecc2c6f075_DreamFit%2520Cooling%2520Bed%2520Sheet%2520Set%2520White%2520(2).jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/673c7b8dd96e46f78385cf4f_672f142679488d86e2ebbf25_DreamFit%2520Cooling%2520Bed%2520Sheet%2520Set%2520White%2520(1).jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/673c7b8dd96e46f78385cf4b_672f141e6e7065c249819525_DreamFit%2520Cooling%2520Bed%2520Sheet%2520Set%2520White.jpeg,dreamfit,egyptian-cotton; hot-sleepers,"Cooling effect, deep pockets, elastic corner straps","Higher price point, limited color options",Egyptian Cotton,Very High,$279.99,Excellent,Not specified,High,4.2/5,"Twin, Full, Queen, King",Machine wash in cold water; tumble dry low,4,Sateen,Yes,High,30-day return policy,Very Good,8.5,8.5,8.5,8.5,8.5,TRUE,Cooling Egyptian cotton sheets with deep pockets,,,249,,https://www.amazon.com/DreamFit-4-Degree-Preferred-100-Percent-Egyptian/dp/B0057RJ1F6?th=1&linkCode=ll1&tag=aehp-20&linkId=0b00fc6fbdf15633f0e8e824dbe0c85e&language=en_US&ref_=as_li_ss_tl,,,
Luxury 100% Linen King Bed Sheets,luxury-100-linen-king-bed-sheets,6694b4a02ed4cdd356d1fd3c,66731949b7eeafbfe3fa8c36,6762afb3d7fb5b2cf5ae6dce,FALSE,FALSE,Wed Dec 18 2024 11:19:15 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 11:19:15 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 11:19:15 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6762acaea52b7a6ea2c851cb_81PH7NelJjL._AC_SL1500_.jpg,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6762acb961ef1306844891c0_919rVkjIkiL._AC_SL1500_.jpg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6762acbf53a3250f28fe693c_81ZmpSQeAjL._AC_SL1500_.jpg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6762acc46fb09e02fa62aad7_81sFXYbsXHL._AC_SL1500_.jpg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6762accaafef3059e9dac2c8_91ngAfJgakL._AC_SL1500_.jpg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6762aca4c5765dca89e664fc_81fiW7o7o9L._AC_SL1500_.jpg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6762acd9c5765dca89e6ad3b_81b2DwRifVL._AC_SL1500_.jpg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6762ace06ab5e3abfa428dc7_81QFYcpereL._AC_SL1500_.jpg,bare-home-us,best-on-amazon; linen,"Luxury, Natural, Easy fit","Quality may vary, potential for pilling over time",Linen,Medium,$100-$175,Very Good,Not specified,Moderate,4.5/5,"Twin, Twin XL, Full, Queen, King, Cal King, Split King, Split Cal king","Machine wash cold, gentle cycle, Tumble dry low, Do not bleach, Warm iron if needed.",5,Not specified,YES,High,30-day return policy,Average,8.6,9,8,8,9,FALSE,Lightweight Linen Sheets All Natural And Breathable,,,130,,,Queen,https://amazon.com/dp/B0B1G3945W?maas=maas_adg_api_585469917187664326_static_9_129&ref_=aa_maas&tag=homeprinciple-20&aa_campaignid=lv_Tb1d28fRca4mmQEf1w&aa_adgroupid=lv_J5mFLOkDAi2JaD32Cq&aa_creativeid=lv_heFmTc6bj63mafrIWU&m=A3UBXJ2R9SZ9Z4,https://amazon.com/dp/B0B1G3945W?maas=maas_adg_api_585469917187664326_static_9_129&ref_=aa_maas&tag=homeprinciple-20&aa_campaignid=lv_Tb1d28fRca4mmQEf1w&aa_adgroupid=lv_IQGqkIijRcjAl02eH1&aa_creativeid=lv_VN5JK56gLVsQ9WTaic&m=A3UBXJ2R9SZ9Z4
Luxury Cotton Tencel Eucalyptus Bed Sheets,luxury-cotton-tencel-eucalyptus-bed-sheets,6694b4a02ed4cdd356d1fd3c,66731949b7eeafbfe3fa8c36,676af1f88e75e9b1f21f85bd,FALSE,FALSE,Tue Dec 24 2024 17:40:08 GMT+0000 (Coordinated Universal Time),Tue Dec 24 2024 17:40:08 GMT+0000 (Coordinated Universal Time),Tue Dec 24 2024 17:40:08 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/676aef18406483ff3b3d2824_81qY-Zp4vKL._AC_SL1500_.jpg,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/676aef1d55c2173dce519c1f_91j3EpvDTRL._AC_SL1500_.jpg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/676aef2315a42adbd8ca3d05_81F2RxVAsjL._AC_SL1500_.jpg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/676aef295806a3309e04b872_81q3q83lA%2BL._AC_SL1500_.jpg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/676aef2fb77baa273064a449_81lUjC%2BdfOL._AC_SL1500_.jpg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/676aef33d45d1e30772947f4_717RJAD3iCL._AC_SL1500_.jpg,bedsure,best-on-amazon; best-premium,"Luxury, Breathable, Double Stitch","Potential shrinkage, Limited sizes","Cotton, Tencel Lyocell",High,$130-$170,Very Good,Not specified,High,4.5/5,"Full, Queen, King, Cal King","Machine wash cold, tumble dry low",17,Not specified,Not specified,Moderate,30-day return policy,Good,8.6,8,7,9,9,FALSE,Luxury Cotton Tencel Bed Sheet,HOMEPRINCIPLES,for 20% off,129,,https://amazon.com/dp/B0C7L1J2LC?maas=maas_adg_api_587949735981289087_static_9_129&ref_=aa_maas&tag=maas&aa_campaignid=lv_TYLETsfDItQIWJ3796&aa_adgroupid=lv_NiA8BZx6petB7f5BjP&aa_creativeid=lv_bif7mRDsi1oxw9o8mv&m=A3LDROY0BE4ISH,King,,
"Signature Hemmed Sheet Set - King + Standard, White",signature-hemmed-sheet-set---king-standard-white,6694b4a02ed4cdd356d1fd3c,66731949b7eeafbfe3fa8c36,672f104dc1da3387d8695b00,FALSE,FALSE,Sat Nov 09 2024 07:33:33 GMT+0000 (Coordinated Universal Time),Fri Dec 13 2024 11:10:15 GMT+0000 (Coordinated Universal Time),Fri Dec 13 2024 11:10:15 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/673c7b8eaaad0cd7436d4cc8_672f14a26e7065c24981da18_Boll%2520%2526%2520Branch%2520Sheet%2520Set%2520King%2520White%2520(3).jpeg,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/673c7b8eaaad0cd7436d4cb6_672f14a2fc72525c88a211e0_51NtKeY-jgL._AC_SL1358_.jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/673c7b8eaaad0cd7436d4cba_672f14a23aa29a0544dcbdf4_Boll%2520%2526%2520Branch%2520Sheet%2520Set%2520King%2520White%2520(4).jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/673c7b8eaaad0cd7436d4cc8_672f14a26e7065c24981da18_Boll%2520%2526%2520Branch%2520Sheet%2520Set%2520King%2520White%2520(3).jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/673c7b8eaaad0cd7436d4cc2_672f14a2d88bcff7f67eeff4_Boll%2520%2526%2520Branch%2520Sheet%2520Set%2520King%2520White%2520(2).jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/673c7b8daaad0cd7436d4cb2_672f14a2996ace842c662ae4_Boll%2520%2526%2520Branch%2520Sheet%2520Set%2520King%2520White%2520(1).jpeg,boll-branch,king-size-on-amazon; fitted; fitted-on-amazon; deep-pocket; best-premium,"Luxurious feel, organic cotton, breathable","Higher price point, limited color options",Organic Cotton,Very High,$299.00,Excellent,Not specified,High,4.1/5,"Twin, Twin XL, Full, Queen, King, California King, Split King",Machine wash in cold water; tumble dry medium,9,Sateen,Yes,Very High,30-day return policy,Excellent,8.2,8.2,8.4,8.3,8.1,TRUE,"Luxurious organic cotton sheets, very breathable",,,299,,https://www.amazon.com/BOLL-BRANCH-Signature-Hemmed-Sheet/dp/B0BHZQ5G2Y?th=1&linkCode=ll1&tag=aehp-20&linkId=4a3a7d3af36be52b2296f0c5a465f1a9&language=en_US&ref_=as_li_ss_tl,,,
"Signature Hemmed Sheet Set - Queen, White",signature-hemmed-sheet-set---queen-white,6694b4a02ed4cdd356d1fd3c,66731949b7eeafbfe3fa8c36,672f104d6514a9b7caee0ff7,FALSE,FALSE,Sat Nov 09 2024 07:33:33 GMT+0000 (Coordinated Universal Time),Thu Dec 05 2024 10:54:32 GMT+0000 (Coordinated Universal Time),Sun Dec 08 2024 13:58:09 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6748046e43a57d0936e6e5f1_673d73418165fab7cae9346d_bool.webp,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/673c7b8eaaad0cd7436d4cba_672f14a23aa29a0544dcbdf4_Boll%2520%2526%2520Branch%2520Sheet%2520Set%2520King%2520White%2520(4).jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/673c7b8eaaad0cd7436d4cc8_672f14a26e7065c24981da18_Boll%2520%2526%2520Branch%2520Sheet%2520Set%2520King%2520White%2520(3).jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/673c7b8eaaad0cd7436d4cc2_672f14a2d88bcff7f67eeff4_Boll%2520%2526%2520Branch%2520Sheet%2520Set%2520King%2520White%2520(2).jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/673c7b8daaad0cd7436d4cb2_672f14a2996ace842c662ae4_Boll%2520%2526%2520Branch%2520Sheet%2520Set%2520King%2520White%2520(1).jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/673c7b8e39efa2ffae16d49e_672f151c56634480ac5c6cf9_Boll%2520%2526%2520Branch%2520Sheet%2520Set%2520King%2520White.jpeg,boll-branch,queen-size-on-amazon; best-on-amazon; cotton-on-amazon; cotton; deep-pocket; soft,"Luxurious feel, organic cotton, breathable","Higher price point, limited color options",Organic Cotton,Very High,$279.00,Excellent,Not specified,High,4.1/5,"Twin, Twin XL, Full, Queen, King, California King, Split King",Machine wash in cold water; tumble dry medium,9,Sateen,Yes,Very High,30-day return policy,Excellent,8.2,8.2,8.4,8.3,8.1,TRUE,"Luxurious organic cotton sheets, very breathable",,,279,,https://www.amazon.com/BOLL-BRANCH-Signature-Hemmed-Sheet/dp/B0BHZSJ4QK?th=1&linkCode=ll1&tag=aehp-20&linkId=439c467d7cf692a24e5667e5bb9bed6e&language=en_US&ref_=as_li_ss_tl,,,
