platform ,referral link,commision rate
levanta,https://www.amazon.com/dp/B08M9SMVSG?maas=maas_adg_api_577243876468331688_static_9_129&ref_=aa_maas&tag=maas&aa_campaignid=lv_lntD3Kkxwyg1nFqRjx&aa_adgroupid=lv_EX0nX0HiuY5d9BJ4at&aa_creativeid=lv_LSyQgrrz9fya59ZBSi&th=1,
levanta,https://www.amazon.com/dp/B079TH5HL3?maas=maas_adg_api_585469917187664326_static_9_129&ref_=aa_maas&tag=maas&aa_campaignid=lv_70EBarMzHWsfTsY9Ao&aa_adgroupid=lv_A0oc1dsRPL1Uvzo7rD&aa_creativeid=lv_BYyssizlEfuNtT6Jok&m=A3UBXJ2R9SZ9Z4,
levanta,https://www.amazon.com/dp/B0DZT7NYRY?maas=maas_adg_api_584724442338921539_static_9_129&ref_=aa_maas&tag=maas&aa_campaignid=lv_ob9yDNldICiqbxrbnn&aa_adgroupid=lv_NqmWqr4wlf1PB8gNMF&aa_creativeid=lv_Wp1O0Rcu7UBYykowsX&m=AXT11B3W0G30N,
amazon_associates,https://www.amazon.com/dp/B0F14JH29W?ref=t_ac_view_request_product_image&campaignId=amzn1.campaign.32QXQQL5FFKBN&linkCode=tr1&tag=homeprinciple-20&linkId=amzn1.campaign.32QXQQL5FFKBN_1757342242287,
amazon_associates,https://www.amazon.com/dp/B0F14CRR1X?ref=t_ac_view_request_product_image&campaignId=amzn1.campaign.1VES9ZRQJS6T1&linkCode=tr1&tag=homeprinciple-20&linkId=amzn1.campaign.1VES9ZRQJS6T1_1757342441079&th=1,
amazon_associates,https://www.amazon.com/dp/B0CNGSP5G4?ref=t_ac_view_request_product_image&campaignId=amzn1.campaign.3VBDCQZ1XCDQV&linkCode=tr1&tag=homeprinciple-20&linkId=amzn1.campaign.3VBDCQZ1XCDQV_1757342506646,10%
amazon_associates,https://www.amazon.com/dp/B0F2SWQTLL?ref=t_ac_view_request_product_image&campaignId=amzn1.campaign.2NIQXLEDDRDQF&linkCode=tr1&tag=homeprinciple-20&linkId=amzn1.campaign.2NIQXLEDDRDQF_1757342558278,10%
amazon_associates,https://www.amazon.com/dp/B0CMFS482V?ref=t_ac_view_request_product_image&campaignId=amzn1.campaign.204G4REGX075N&linkCode=tr1&tag=homeprinciple-20&linkId=amzn1.campaign.204G4REGX075N_1757342757819,10%
levanta,https://www.amazon.com/dp/B08BHQ9CKS?maas=maas_adg_api_577243876468331688_static_9_129&ref_=aa_maas&tag=maas&aa_campaignid=lv_lntD3Kkxwyg1nFqRjx&aa_adgroupid=lv_YqBzfrkEFBWO61KQn2&aa_creativeid=lv_2tqo1rvrL3rV8kxl3x&m=A1AXL20TGZNU1I,
,https://www.amazon.com/dp/B08M9CCRF9?maas=maas_adg_api_577243876468331688_static_9_129&ref_=aa_maas&tag=maas&aa_campaignid=lv_uiarTTXn3g4DJBdkzu&aa_adgroupid=lv_lPQNReLWOciE9qOoUs&aa_creativeid=lv_kEuvrvwZtzDrbIdZiP&m=A1AXL20TGZNU1I,
